elec,year,USH_dist,HOU_dist,hstraight,n
2010-11-02,10,1,58,0.8710116250309177,8086
2010-11-02,10,1,98,0.8567051820728291,11424
2010-11-02,10,1,102,0.8661388988844908,2779
2010-11-02,10,1,104,0.8193183627966236,12558
2010-11-02,10,1,108,0.788697247706422,13625
2010-11-02,10,1,113,0.6368821292775665,1578
2010-11-02,10,1,115,0.7158603796693203,8165
2010-11-02,10,1,116,0.8622478386167147,3470
2010-11-02,10,1,119,0.686062881276396,6393
2010-11-02,10,2,69,0.818504263829145,13251
2010-11-02,10,2,78,0.8290378006872853,10476
2010-11-02,10,2,79,0.9091942050942146,10561
2010-11-02,10,2,82,0.6666666666666666,6
2010-11-02,10,2,85,0.8422801447242118,13543
2010-11-02,10,2,87,0.8339020823177101,14359
2010-11-02,10,2,91,0.8916588060908234,7421
2010-11-02,10,2,93,0.759515570934256,3468
2010-11-02,10,2,120,0.7082851637764933,2595
2010-11-02,10,3,8,0.8085004202185136,8329
2010-11-02,10,3,12,0.8824508320726172,6610
2010-11-02,10,3,13,0.8330966684871655,9155
2010-11-02,10,3,26,0.8447249345082163,4199
2010-11-02,10,3,82,0.5538918597742127,8415
2010-11-02,10,4,17,0.8355895624877379,10194
2010-11-02,10,4,22,0.7853780985252589,9561
2010-11-02,10,4,23,0.8663349347975292,5828
2010-11-02,10,4,24,0.8493311429241962,12783
2010-11-02,10,4,26,0.7755930087390761,3204
2010-11-02,10,4,28,0.8610358696544365,12183
2010-11-02,10,4,31,0.771510320866544,4893
2010-11-02,10,4,35,0.8323245696992624,10574
2010-11-02,10,4,37,0.729639055992596,8644
2010-11-02,10,4,38,0.8189480422490131,9373
2010-11-02,10,4,42,0.7103001897109698,8961
2010-11-02,10,5,45,0.8936860494135264,4007
2010-11-02,10,5,46,0.8612722170252572,10690
2010-11-02,10,5,47,0.825019716088328,10144
2010-11-02,10,5,63,0.8547602501737318,1439
2010-11-02,10,6,60,0.9173237476808905,8624
2010-11-02,10,6,63,0.847963986085533,9774
2010-11-02,10,6,93,0.8262436914203316,2774
2010-11-02,10,6,102,0.93843797856049,6530
2010-11-02,10,6,113,0.6736427054898393,3297
2010-11-02,10,6,116,0.9295334295334295,4158
2010-11-02,10,6,120,0.8047158403869408,4962
2012-11-06,12,1,97,0.7697008684464458,6218
2012-11-06,12,1,100,0.8791208791208791,11102
2012-11-06,12,1,102,0.8674065420560748,3424
2012-11-06,12,1,109,0.4665989331978664,3937
2012-11-06,12,1,113,0.5157116451016636,2705
2012-11-06,12,3,1,0.8318666049096805,10795
2012-11-06,12,3,11,0.766379465087058,11142
2012-11-06,12,3,14,0.8740420365733363,13179
2012-11-06,12,3,25,0.5972286374133949,4330
2012-11-06,12,3,82,0.4873046875,7168
2012-11-06,12,4,23,0.6734977051979933,9369
2012-11-06,12,4,25,0.7354838709677419,6975
2012-11-06,12,4,31,0.7338335119685602,8397
2012-11-06,12,5,41,0.2848706411698538,10668
2012-11-06,12,5,44,0.6584271720223381,10923
2012-11-06,12,5,52,0.6703840570146496,15154
2012-11-06,12,5,53,0.7890535917901939,877
2012-11-06,12,7,57,0.7532894736842105,11856
2012-11-06,12,7,62,0.9208615875548465,12535
2012-11-06,12,7,63,0.8853376981392144,11608
2012-11-06,12,7,104,0.835720513139868,16058
2014-11-04,14,2,69,0.8838926801907077,10697
2014-11-04,14,2,75,0.7823945170272006,9338
2014-11-04,14,2,78,0.7821368004522329,8845
2014-11-04,14,2,84,0.9278124278124278,8658
2014-11-04,14,2,87,0.8955477918122369,11163
2014-11-04,14,2,90,0.9021447721179625,746
2014-11-04,14,3,11,0.8292011019283747,7986
2014-11-04,14,3,12,0.9353157572041693,6524
2014-11-04,14,3,40,0.7018828451882845,1912
2014-11-04,14,3,42,0.8785201546107123,1811
2014-11-04,14,5,32,0.9181773640372366,2041
2014-11-04,14,5,40,0.7078623142385367,7873
2014-11-04,14,5,42,0.6811373092926492,7210
2014-11-04,14,5,48,0.9214263174502998,9507
2014-11-04,14,5,49,0.935580204778157,7032
2014-11-04,14,5,53,0.8932584269662921,534
2014-11-04,14,5,64,0.9347826086956522,46
